Shiran&Yonatan,,,,,,,,BOAZ,,
lat,lon,alt,,lat diff,lon diff,alt diff,,lat,lon,alt
32.10252819,35.2073457,700.1622739,,0.000681154,0.002217141,5.395494411,,32.10320934,35.20956284,705.5577683
32.10251814,35.20734901,698.9056862,,0.001046166,0.002093165,0.738342304,,32.10356431,35.20944217,699.6440285
32.10251582,35.20733918,697.9931738,,0.001434171,0.00183256,3.979478759,,32.10394999,35.20917174,701.9726526
32.10252096,35.20731866,696.826181,,0.000323411,0.000873258,3.526609081,,32.10284437,35.20819192,700.3527901
32.10251744,35.20733873,695.5775666,,0.001138701,0.002028614,9.709881735,,32.10365614,35.20936734,705.2874483
32.10245839,35.20743113,694.8881938,,0.001234421,0.001451309,9.248626381,,32.10369281,35.20888244,704.1368202
32.10246378,35.2075634,694.1299433,,0.000906649,0.002180536,10.25929285,,32.10337043,35.20974394,704.3892362
32.10258799,35.20759021,693.1085203,,0.001094181,0.001790999,7.501557189,,32.10368217,35.20938121,700.6100775
32.1026346,35.20757686,692.0341048,,0.001031314,0.001910647,12.62851016,,32.10366591,35.20948751,704.662615
32.10273178,35.20757723,691.3394899,,0.000621699,0.002160016,13.33100382,,32.10335348,35.20973725,704.6704937
32.10286151,35.2076292,691.1036072,,1.63383E-05,0.001679157,15.84360369,,32.10287785,35.20930836,706.9472109
32.1029743,35.20769755,690.9460551,,0.000842323,0.001216916,12.46164254,,32.10381662,35.20891447,703.4076976
32.10309345,35.20773997,690.9058113,,0.000430637,0.000412945,3.374594664,,32.10352409,35.20815292,694.280406
32.10317578,35.20775336,690.8658803,,0.000636304,0.000427592,6.43999554,,32.10381208,35.20818095,697.3058758
32.10325457,35.20776622,690.8153989,,0.000420623,0.000826922,9.592583626,,32.10367519,35.20859314,700.4079825
32.10332339,35.20778663,690.7687922,,0.001216442,0.001164861,0.390538053,,32.10453983,35.20895149,691.1593303
32.10342051,35.20780553,690.6874449,,0.000543755,0.001371848,6.357090654,,32.10396427,35.20917738,697.0445356
32.10345292,35.20781064,690.6563445,,0.001228877,0.001812441,0.90895306,,32.1046818,35.20962308,689.7473914
32.10353355,35.20781292,690.579513,,0.000699466,0.001418808,7.998904786,,32.10423302,35.20923173,698.5784178
32.10371441,35.20782636,690.4758806,,0.000587492,0.001636242,1.774843836,,32.1043019,35.2094626,692.2507244
32.10395116,35.20786377,690.3267398,,0.000236598,0.001342822,12.38735265,,32.10418776,35.20920659,702.7140925
32.10419403,35.20788174,690.1268556,,0.000242744,0.001804619,2.421249645,,32.10443677,35.20968636,687.705606
32.10441405,35.20788087,689.9496965,,0.000415919,0.001274788,18.25889142,,32.10399813,35.20915566,708.2085879
32.10461272,35.20792964,689.6670161,,0.000383488,0.001264573,0.742380115,,32.10422923,35.20919421,688.924636
32.10473074,35.20808402,689.6319853,,0.000949757,0.001436893,14.08994855,,32.10378098,35.20952091,703.7219339
32.10505166,35.20866893,689.2302581,,0.001152336,0.000332628,2.030800493,,32.10389932,35.20900156,687.1994576
32.10513904,35.20879924,688.9451858,,0.000752476,0.000696317,7.397246331,,32.10438656,35.20949556,696.3424321
32.10522815,35.20893428,688.6530227,,0.001172333,0.000327181,11.16394259,,32.10405582,35.2086071,699.8169653
32.10533997,35.20910319,688.4228174,,0.002816108,0.00177872,10.6644062,,32.10252386,35.20732447,699.0872236
32.10545969,35.20928736,688.3373273,,0.001805994,0.001067992,5.180340393,,32.1036537,35.20821937,693.5176677
32.10559678,35.20951078,688.4287285,,0.001849869,0.00041154,15.58264425,,32.10374691,35.20909924,704.0113727
32.10572051,35.20975997,688.5550301,,0.003166544,0.00231962,8.065934122,,32.10255397,35.20744035,696.6209642
32.10583719,35.21005175,688.5948452,,0.002605545,0.000339143,14.45123267,,32.10323164,35.20971261,703.0460779
32.10593532,35.21038077,688.6045855,,0.001722624,0.00111232,3.42375754,,32.1042127,35.20926845,692.028343
32.10601668,35.2107271,688.6764368,,0.001568895,0.000907114,2.547827344,,32.10444779,35.20981999,691.2242641
32.10608928,35.21106968,688.7624378,,0.001645033,0.001304324,2.756216094,,32.10444425,35.20976536,691.5186539
32.10614939,35.21138727,688.8993666,,0.001610395,0.00171071,0.170407342,,32.104539,35.20967656,689.0697739
32.10618195,35.21168764,689.1981253,,0.002367282,0.001524731,14.95554354,,32.10381467,35.21016291,704.1536688
32.10621149,35.21194839,689.2763253,,0.001889478,0.002231493,5.504671831,,32.10432201,35.2097169,694.7809971
32.1061716,35.21214176,689.3311853,,0.002901051,0.002665018,10.4351864,,32.10327055,35.20947674,699.7663717
32.10599537,35.21216519,689.5950094,,0.002330805,0.002073848,19.67153984,,32.10366457,35.21009134,709.2665492
32.10578181,35.21207188,690.5323471,,0.001680778,0.002076536,8.816629311,,32.10410103,35.20999534,699.3489764
